H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY
,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Serrano,,,Abraham,Amash,,,Adams,Abraham,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash
,Adams,Brooks (AL),,,Adams,Brooks (AL),,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,,,,Adams,Biggs,,,Aguilar,Aderholt,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Bass,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Massie
,Aderholt,Gohmert,,,Aderholt,Labrador,,,Allen,Ashford,,,Allen,Ashford,,,Aderholt,,,,Aderholt,Brooks (AL),,,Barragán,Allen,,,Allen,Amash,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,Brown (MD),,,Allen,Barragán,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,
,Aguilar,Massie,,,Aguilar,Massie,,,Amash,Bass,,,Amash,Bass,,,Aguilar,,,,Aguilar,Gaetz,,,Bass,Amash,,,Amodei,Barragán,,,Amash,Bass,,,Aguilar,Davidson,,,Aguilar,Carson (IN),,,Amash,Bass,,,Amash,Bass,,,Aguilar,Buck,,,Aguilar,
,Allen,Sanford,,,Allen,,,,Amodei,Beatty,,,Amodei,Beatty,,,Allen,,,,Allen,Garrett,,,Beatty,Amodei,,,Arrington,Bass,,,Amodei,Beatty,,,Allen,Gaetz,,,Allen,"Chu, Judy",,,Amodei,Bera,,,Amodei,Bera,,,Allen,Duncan (TN),,,Allen,
,Amodei,,,,Amodei,,,,Babin,Becerra,,,Babin,Becerra,,,Amash,,,,Amodei,Gohmert,,,Bera,Arrington,,,Babin,Beatty,,,Arrington,Bera,,,Amodei,Garrett,,,Amodei,Clarke (NY),,,Arrington,Beyer,,,Arrington,Beyer,,,Amodei,Gaetz,,,Amodei,
,Ashford,,,,Ashford,,,,Barletta,Bera,,,Barletta,Beyer,,,Amodei,,,,Arrington,Gonzalez (TX),,,Beyer,Babin,,,Bacon,Bera,,,Babin,Beyer,,,Arrington,Gohmert,,,Arrington,Clay,,,Babin,Bishop (GA),,,Bacon,Bishop (GA),,,Arrington,Garrett,,,Arrington,
,Babin,,,,Babin,,,,Barr,Beyer,,,Barton,Bishop (GA),,,Ashford,,,,Babin,Gosar,,,Bishop (GA),Bacon,,,Banks (IN),Beyer,,,Bacon,Bishop (GA),,,Babin,Labrador,,,Babin,Cleaver,,,Bacon,Blumenauer,,,Banks (IN),Blumenauer,,,Babin,Gosar,,,Babin,
,Barletta,,,,Barletta,,,,Barton,Bishop (GA),,,Benishek,Blumenauer,,,Babin,,,,Bacon,Jones,,,Blum,Banks (IN),,,Barletta,Bishop (GA),,,Banks (IN),Blumenauer,,,Bacon,Massie,,,Bacon,Cohen,,,Banks (IN),Blunt Rochester,,,Barletta,Blunt Rochester,,,Bacon,"Hice, Jody B.",,,Bacon,
,Barr,,,,Barr,,,,Benishek,Blumenauer,,,Bilirakis,Bonamici,,,Barletta,,,,Banks (IN),Labrador,,,Blumenauer,Barletta,,,Barr,Blumenauer,,,Barletta,Blunt Rochester,,,Barr,McClintock,,,Banks (IN),"Davis, Danny",,,Barletta,Bonamici,,,Barr,Bonamici,,,Banks (IN),Jones,,,Banks (IN),
,Barton,,,,Barton,,,,Bilirakis,Bonamici,,,Bishop (MI),"Boyle, Brendan F.",,,Barr,,,,Barletta,Loudermilk,,,Blunt Rochester,Barr,,,Barton,Blunt Rochester,,,Barr,Bonamici,,,Barragán,Perry,,,Barletta,Demings,,,Barr,"Boyle, Brendan F.",,,Barton,"Boyle, Brendan F.",,,Barletta,Massie,,,Barletta,
,Bass,,,,Bass,,,,Bishop (MI),"Boyle, Brendan F.",,,Blackburn,Brady (PA),,,Barton,,,,Barr,Massie,,,Bonamici,Barton,,,Biggs,Bonamici,,,Barton,"Boyle, Brendan F.",,,Barton,Poe (TX),,,Barr,DeSaulnier,,,Barton,Brady (PA),,,Bergman,Brady (PA),,,Barr,McClintock,,,Barr,
,Beatty,,,,Beatty,,,,Bishop (UT),Brady (PA),,,Blum,Brown (FL),,,Bass,,,,Barragán,McClintock,,,"Boyle, Brendan F.",Bergman,,,Bilirakis,"Boyle, Brendan F.",,,Bergman,Brady (PA),,,Bass,Yoho,,,Barragán,Doggett,,,Bergman,Brown (MD),,,Biggs,Brown (MD),,,Barragán,Rohrabacher,,,Barragán,
,Becerra,,,,Becerra,,,,Black,Brown (FL),,,Bost,Brownley (CA),,,Beatty,,,,Barton,Sanford,,,Brady (PA),Biggs,,,Bishop (MI),Brady (PA),,,Biggs,Brown (MD),,,Bera,,,,Barton,Fudge,,,Biggs,Brownley (CA),,,Bishop (MI),Brownley (CA),,,Barton,,,,Barton,
,Benishek,,,,Benishek,,,,Blackburn,Brownley (CA),,,Boustany,Bustos,,,Becerra,,,,Bass,,,,Brown (MD),Bilirakis,,,Bishop (UT),Brown (MD),,,Bilirakis,Brownley (CA),,,Beyer,,,,Bera,Gonzalez (TX),,,Bishop (MI),Bustos,,,Bishop (UT),Bustos,,,Bass,,,,Bass,
,Bera,,,,Bera,,,,Blum,Bustos,,,Brat,Butterfield,,,Benishek,,,,Beatty,,,,Brownley (CA),Bishop (MI),,,Blackburn,Brownley (CA),,,Bishop (MI),Bustos,,,Bilirakis,,,,Bergman,"Green, Al",,,Bishop (UT),Butterfield,,,Black,Butterfield,,,Bera,,,,Beatty,
,Beyer,,,,Beyer,,,,Bost,Butterfield,,,Bridenstine,Capps,,,Bera,,,,Bera,,,,Bustos,Bishop (UT),,,Bost,Bustos,,,Blackburn,Butterfield,,,Bishop (GA),,,,Beyer,"Green, Gene",,,Black,Capuano,,,Blackburn,Capuano,,,Bergman,,,,Bera,
,Bilirakis,,,,Bilirakis,,,,Boustany,Capuano,,,Brooks (AL),Capuano,,,Beyer,,,,Bergman,,,,Butterfield,Blackburn,,,Brady (TX),Butterfield,,,Bost,Capuano,,,Bishop (MI),,,,Biggs,Grijalva,,,Blackburn,Carbajal,,,Blum,Carbajal,,,Beyer,,,,Bergman,
,Bishop (GA),,,,Bishop (GA),,,,Brady (TX),Cárdenas,,,Brooks (IN),Cárdenas,,,Bilirakis,,,,Beyer,,,,Capuano,Bost,,,Brat,Capuano,,,Brady (TX),Carbajal,,,Bishop (UT),,,,Bilirakis,Hastings,,,Blum,Cárdenas,,,Bost,Cárdenas,,,Bishop (GA),,,,Beyer,
,Bishop (MI),,,,Bishop (MI),,,,Brat,Carney,,,Buchanan,Carney,,,Bishop (GA),,,,Bilirakis,,,,Carbajal,Brady (TX),,,Brooks (AL),Carbajal,,,Brat,Cárdenas,,,Blunt Rochester,,,,Bishop (GA),Higgins (NY),,,Bost,Carson (IN),,,Brady (TX),Carson (IN),,,Bishop (MI),,,,Biggs,
,Bishop (UT),,,,Bishop (UT),,,,Bridenstine,Carson (IN),,,Buck,Carson (IN),,,Bishop (MI),,,,Bishop (GA),,,,Cárdenas,Brat,,,Brooks (IN),Cárdenas,,,Brooks (AL),Carson (IN),,,Bost,,,,Bishop (MI),Jackson Lee,,,Brady (TX),Cartwright,,,Brat,Cartwright,,,Bishop (UT),,,,Bilirakis,
,Black,,,,Black,,,,Brooks (AL),Castro (TX),,,Bucshon,Castro (TX),,,Bishop (UT),,,,Bishop (MI),,,,Carson (IN),Brooks (AL),,,Buchanan,Carson (IN),,,Brooks (IN),Cartwright,,,Brady (TX),,,,Bishop (UT),Jayapal,,,Brat,Castor (FL),,,Brooks (AL),Castor (FL),,,Black,,,,Bishop (GA),
,Blackburn,,,,Blackburn,,,,Brooks (IN),"Chu, Judy",,,Burgess,"Chu, Judy",,,Black,,,,Bishop (UT),,,,Cartwright,Brooks (IN),,,Buck,Cartwright,,,Buchanan,Castor (FL),,,Brat,,,,Blackburn,Jeffries,,,Brooks (AL),Castro (TX),,,Brooks (IN),Castro (TX),,,Blum,,,,Bishop (MI),
,Blum,,,,Blum,,,,Buchanan,Cicilline,,,Byrne,Cicilline,,,Blackburn,,,,Blackburn,,,,Castor (FL),Buchanan,,,Bucshon,Castor (FL),,,Buck,Castro (TX),,,Brooks (IN),,,,Blum,Johnson (GA),,,Brooks (IN),Cicilline,,,Buchanan,Cicilline,,,Blumenauer,,,,Bishop (UT),
,Blumenauer,,,,Blumenauer,,,,Buck,Clark (MA),,,Calvert,Clark (MA),,,Blum,,,,Blum,,,,Castro (TX),Buck,,,Budd,Castro (TX),,,Bucshon,"Chu, Judy",,,Brown (MD),,,,Blumenauer,Kelly (IL),,,Buchanan,Clark (MA),,,Buck,Clark (MA),,,Blunt Rochester,,,,Blackburn,
,Bonamici,,,,Bonamici,,,,Bucshon,Clarke (NY),,,Carter (GA),Clarke (NY),,,Blumenauer,,,,Blumenauer,,,,"Chu, Judy",Bucshon,,,Burgess,"Chu, Judy",,,Budd,Cicilline,,,Brownley (CA),,,,Blunt Rochester,Khanna,,,Buck,Clarke (NY),,,Bucshon,Clarke (NY),,,Bonamici,,,,Blumenauer,
,Bost,,,,Bost,,,,Burgess,Clay,,,Carter (TX),Clay,,,Bonamici,,,,Blunt Rochester,,,,Cicilline,Budd,,,Byrne,Cicilline,,,Burgess,Clark (MA),,,Buck,,,,Bonamici,Lawrence,,,Bucshon,Clay,,,Budd,Clay,,,Bost,,,,Blunt Rochester,
,Boustany,,,,"Boyle, Brendan F.",,,,Byrne,Cleaver,,,Chabot,Cleaver,,,Bost,,,,Bonamici,,,,Clark (MA),Burgess,,,Calvert,Clark (MA),,,Byrne,Clarke (NY),,,Bucshon,,,,Bost,Lewis (GA),,,Budd,Cleaver,,,Burgess,Cleaver,,,"Boyle, Brendan F.",,,,Bonamici,
,"Boyle, Brendan F.",,,,Brady (PA),,,,Calvert,Clyburn,,,Chaffetz,Clyburn,,,Boustany,,,,Bost,,,,Clarke (NY),Byrne,,,Carter (GA),Clarke (NY),,,Calvert,Clay,,,Budd,,,,"Boyle, Brendan F.",Lowenthal,,,Burgess,Clyburn,,,Byrne,Clyburn,,,Brady (TX),,,,Bost,
,Brady (PA),,,,Brady (TX),,,,Carter (GA),Cohen,,,Clawson (FL),Cohen,,,"Boyle, Brendan F.",,,,"Boyle, Brendan F.",,,,Clay,Calvert,,,Carter (TX),Clay,,,Carter (GA),Cleaver,,,Burgess,,,,Brady (PA),McCollum,,,Byrne,Cohen,,,Calvert,Cohen,,,Brat,,,,"Boyle, Brendan F.",
,Brady (TX),,,,Brat,,,,Carter (TX),Connolly,,,Coffman,Connolly,,,Brady (PA),,,,Brady (PA),,,,Cleaver,Carter (GA),,,Chabot,Cleaver,,,Carter (TX),Clyburn,,,Bustos,,,,Brady (TX),McEachin,,,Calvert,Connolly,,,Carter (GA),Connolly,,,Brooks (IN),,,,Brady (TX),
,Brat,,,,Bridenstine,,,,Chabot,Conyers,,,Cole,Conyers,,,Brady (TX),,,,Brady (TX),,,,Clyburn,Carter (TX),,,Coffman,Clyburn,,,Chabot,Cohen,,,Byrne,,,,Brat,Mooney (WV),,,Carter (GA),Cooper,,,Carter (TX),Cooper,,,Brown (MD),,,,Brat,
,Bridenstine,,,,Brooks (IN),,,,Chaffetz,Courtney,,,Collins (GA),Cooper,,,Brat,,,,Brat,,,,Cohen,Chabot,,,Cole,Cohen,,,Coffman,Connolly,,,Calvert,,,,Brooks (AL),Moore,,,Carter (TX),Correa,,,Chabot,Correa,,,Brownley (CA),,,,Brooks (AL),
,Brooks (IN),,,,Brown (FL),,,,Clawson (FL),Crowley,,,Collins (NY),Courtney,,,Bridenstine,,,,Brooks (IN),,,,Connolly,Cheney,,,Collins (NY),Connolly,,,Cole,Cooper,,,Carbajal,,,,Brooks (IN),Napolitano,,,Chabot,Costa,,,Cheney,Costa,,,Buchanan,,,,Brooks (IN),
,Brown (FL),,,,Brownley (CA),,,,Coffman,Cummings,,,Comstock,Crowley,,,Brooks (AL),,,,Brown (MD),,,,Cooper,Coffman,,,Comer,Cooper,,,Collins (NY),Correa,,,Cárdenas,,,,Brownley (CA),Nolan,,,Cheney,Courtney,,,Coffman,Courtney,,,Bucshon,,,,Brownley (CA),
,Brownley (CA),,,,Buchanan,,,,Cole,Davis (CA),,,Conaway,Cuellar,,,Brooks (IN),,,,Brownley (CA),,,,Correa,Cole,,,Comstock,Correa,,,Comer,Costa,,,Carson (IN),,,,Buchanan,Norcross,,,Coffman,Crist,,,Cole,Crist,,,Budd,,,,Buck,
,Buchanan,,,,Buck,,,,Collins (GA),"Davis, Danny",,,Cook,Cummings,,,Brown (FL),,,,Buchanan,,,,Costa,Collins (NY),,,Conaway,Costa,,,Comstock,Courtney,,,Carter (TX),,,,Buck,Payne,,,Cole,Cuellar,,,Collins (GA),Cuellar,,,Burgess,,,,Bucshon,
,Buck,,,,Bucshon,,,,Collins (NY),DeFazio,,,Costello (PA),Davis (CA),,,Brownley (CA),,,,Buck,,,,Courtney,Comer,,,Cook,Courtney,,,Conaway,Crist,,,Cartwright,,,,Bucshon,Pocan,,,Collins (GA),Cummings,,,Collins (NY),Cummings,,,Bustos,,,,Budd,
,Bucshon,,,,Burgess,,,,Comstock,DeGette,,,Cramer,"Davis, Danny",,,Buchanan,,,,Bucshon,,,,Crist,Comstock,,,Costello (PA),Crist,,,Cook,Crowley,,,Castor (FL),,,,Budd,Polis,,,Collins (NY),Davis (CA),,,Comer,Davis (CA),,,Butterfield,,,,Burgess,
,Burgess,,,,Bustos,,,,Conaway,Delaney,,,Crawford,DeFazio,,,Buck,,,,Budd,,,,Cuellar,Conaway,,,Cramer,Crowley,,,Costello (PA),Cuellar,,,Castro (TX),,,,Burgess,Raskin,,,Comer,"Davis, Danny",,,Comstock,"Davis, Danny",,,Byrne,,,,Bustos,
,Bustos,,,,Butterfield,,,,Cook,DeLauro,,,Crenshaw,DeGette,,,Bucshon,,,,Burgess,,,,Cummings,Cook,,,Crawford,Cuellar,,,Cramer,Cummings,,,Chabot,,,,Bustos,Richmond,,,Comstock,DeFazio,,,Conaway,DeFazio,,,Calvert,,,,Butterfield,
,Butterfield,,,,Byrne,,,,Cooper,DelBene,,,Culberson,Delaney,,,Burgess,,,,Bustos,,,,Davis (CA),Costello (PA),,,Culberson,Cummings,,,Crawford,Davis (CA),,,Cheney,,,,Butterfield,Roybal-Allard,,,Conaway,DeGette,,,Cook,DeGette,,,Capuano,,,,Byrne,
,Byrne,,,,Calvert,,,,Costa,DeSaulnier,,,Curbelo (FL),DeLauro,,,Bustos,,,,Butterfield,,,,"Davis, Danny",Cramer,,,Curbelo (FL),Davis (CA),,,Culberson,"Davis, Danny",,,"Chu, Judy",,,,Byrne,Rush,,,Cook,Delaney,,,Costello (PA),Delaney,,,Carbajal,,,,Calvert,
,Calvert,,,,Capps,,,,Costello (PA),Deutch,,,"Davis, Rodney",DelBene,,,Butterfield,,,,Byrne,,,,DeFazio,Crawford,,,Curtis,"Davis, Danny",,,Curbelo (FL),DeFazio,,,Cicilline,,,,Calvert,Schakowsky,,,Costello (PA),DeLauro,,,Cramer,DeLauro,,,Cárdenas,,,,Capuano,
,Capps,,,,Capuano,,,,Cramer,Dingell,,,Denham,DeSaulnier,,,Byrne,,,,Calvert,,,,DeGette,Culberson,,,Davidson,DeFazio,,,Curtis,DeGette,,,Clarke (NY),,,,Capuano,Scott (VA),,,Cramer,DelBene,,,Crawford,DelBene,,,Carson (IN),,,,Carbajal,
,Capuano,,,,Cárdenas,,,,Crawford,Doggett,,,Dent,Deutch,,,Calvert,,,,Capuano,,,,DeLauro,Curbelo (FL),,,"Davis, Rodney",DeGette,,,"Davis, Rodney",Delaney,,,Clay,,,,Carbajal,Thompson (MS),,,Crawford,Demings,,,Culberson,Demings,,,Carter (GA),,,,Cárdenas,
,Cárdenas,,,,Carney,,,,Crenshaw,"Doyle, Michael F.",,,DeSantis,Dingell,,,Capps,,,,Carbajal,,,,DelBene,Curtis,,,Denham,Delaney,,,Denham,DeLauro,,,Cleaver,,,,Cárdenas,Titus,,,Culberson,DeSaulnier,,,Curbelo (FL),DeSaulnier,,,Carter (TX),,,,Carson (IN),
,Carney,,,,Carson (IN),,,,Cuellar,Edwards,,,DesJarlais,Doggett,,,Capuano,,,,Cárdenas,,,,Demings,Davidson,,,DeSantis,DeLauro,,,DeSantis,DelBene,,,Coffman,,,,Carter (GA),Veasey,,,Curbelo (FL),Deutch,,,Curtis,Deutch,,,Cartwright,,,,Carter (GA),
,Carson (IN),,,,Carter (GA),,,,Culberson,Engel,,,Diaz-Balart,"Doyle, Michael F.",,,Cárdenas,,,,Carson (IN),,,,DeSaulnier,"Davis, Rodney",,,DesJarlais,DelBene,,,DesJarlais,Demings,,,Cohen,,,,Cartwright,Velázquez,,,Curtis,Dingell,,,Davidson,Dingell,,,Castor (FL),,,,Carter (TX),
,Carter (GA),,,,Carter (TX),,,,Curbelo (FL),Eshoo,,,Dold,Duckworth,,,Carney,,,,Carter (GA),,,,Deutch,Denham,,,Diaz-Balart,Demings,,,Diaz-Balart,DeSaulnier,,,Cole,,,,Castor (FL),"Waters, Maxine",,,Davidson,Doggett,,,"Davis, Rodney",Doggett,,,Castro (TX),,,,Cartwright,
,Carter (TX),,,,Castro (TX),,,,"Davis, Rodney",Esty,,,Donovan,Edwards,,,Carson (IN),,,,Carter (TX),,,,Dingell,DeSantis,,,Donovan,DeSaulnier,,,Donovan,Deutch,,,Collins (NY),,,,Castro (TX),Watson Coleman,,,"Davis, Rodney","Doyle, Michael F.",,,Denham,"Doyle, Michael F.",,,Chabot,,,,Castro (TX),
,Cartwright,,,,Chabot,,,,Denham,Farr,,,Duffy,Ellison,,,Carter (GA),,,,Cartwright,,,,Doggett,DesJarlais,,,Duffy,Deutch,,,Duffy,Dingell,,,Comer,,,,Chabot,Young (AK),,,Denham,Engel,,,DeSantis,Engel,,,Cheney,,,,Chabot,
,Castor (FL),,,,Chaffetz,,,,Dent,Foster,,,Duncan (SC),Engel,,,Carter (TX),,,,Castor (FL),,,,"Doyle, Michael F.",Diaz-Balart,,,Duncan (SC),Dingell,,,Duncan (TN),Doggett,,,Comstock,,,,Cheney,,,,DeSantis,Eshoo,,,DesJarlais,Eshoo,,,"Chu, Judy",,,,Cheney,
,Castro (TX),,,,"Chu, Judy",,,,DeSantis,Frankel (FL),,,Duncan (TN),Eshoo,,,Cartwright,,,,Castro (TX),,,,Engel,Donovan,,,Duncan (TN),Doggett,,,Dunn,"Doyle, Michael F.",,,Conaway,,,,Cicilline,,,,DesJarlais,Esty (CT),,,Diaz-Balart,Esty (CT),,,Cicilline,,,,"Chu, Judy",
,Chabot,,,,Cicilline,,,,DesJarlais,Fudge,,,Ellmers (NC),Esty,,,Castro (TX),,,,Chabot,,,,Eshoo,Duffy,,,Dunn,"Doyle, Michael F.",,,Emmer,Engel,,,Connolly,,,,Clark (MA),,,,Diaz-Balart,Evans,,,Donovan,Evans,,,Clark (MA),,,,Clark (MA),
,Chaffetz,,,,Clark (MA),,,,Diaz-Balart,Gabbard,,,Emmer (MN),Farr,,,Chabot,,,,Cheney,,,,Espaillat,Duncan (SC),,,Emmer,Engel,,,Estes (KS),Eshoo,,,Cook,,,,Clyburn,,,,Donovan,Foster,,,Duffy,Foster,,,Clarke (NY),,,,Clarke (NY),
,"Chu, Judy",,,,Clarke (NY),,,,Dold,Gallego,,,Farenthold,Foster,,,Chaffetz,,,,"Chu, Judy",,,,Esty (CT),Duncan (TN),,,Estes (KS),Eshoo,,,Faso,Espaillat,,,Cooper,,,,Coffman,,,,Duffy,Frankel (FL),,,Duncan (SC),Frankel (FL),,,Clay,,,,Clay,
,Cicilline,,,,Clawson (FL),,,,Donovan,Garamendi,,,Fitzpatrick,Frankel (FL),,,"Chu, Judy",,,,Cicilline,,,,Evans,Dunn,,,Faso,Espaillat,,,Ferguson,Esty (CT),,,Correa,,,,Cole,,,,Duncan (SC),Fudge,,,Duncan (TN),Fudge,,,Cleaver,,,,Cleaver,
