H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,state,FIPS,year,District,Party,Total_YEA,Total_NAY
,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Serrano,,,Abraham,Amash,,,Adams,Abraham,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash,,"Representative Abraham, Ralph Lee",Louisiana,22,House: 2015-Present,5,Republican,14,1
,Adams,Brooks (AL),,,Adams,Brooks (AL),,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,,,,Adams,Biggs,,,Aguilar,Aderholt,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Bass,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Massie,,"Representative Adams, Alma S.",North Carolina,37,House: 2014-Present,12,Democratic,9,6
,Aderholt,Gohmert,,,Aderholt,Labrador,,,Allen,Ashford,,,Allen,Ashford,,,Aderholt,,,,Aderholt,Brooks (AL),,,Barragán,Allen,,,Allen,Amash,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,Brown (MD),,,Allen,Barragán,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,,,"Representative Aderholt, Robert B.",Alabama,1,House: 1997-Present,4,Republican,14,1
,Aguilar,Massie,,,Aguilar,Massie,,,Amash,Bass,,,Amash,Bass,,,Aguilar,,,,Aguilar,Gaetz,,,Bass,Amash,,,Amodei,Barragán,,,Amash,Bass,,,Aguilar,Davidson,,,Aguilar,Carson (IN),,,Amash,Bass,,,Amash,Bass,,,Aguilar,Buck,,,Aguilar,,,"Representative Aguilar, Pete",California,6,House: 2015-Present,31,Democratic,11,4
,Allen,Sanford,,,Allen,,,,Amodei,Beatty,,,Amodei,Beatty,,,Allen,,,,Allen,Garrett,,,Beatty,Amodei,,,Arrington,Bass,,,Amodei,Beatty,,,Allen,Gaetz,,,Allen,"Chu, Judy",,,Amodei,Bera,,,Amodei,Bera,,,Allen,Duncan (TN),,,Allen,,,"Representative Allen, Rick W.",Georgia,13,House: 2015-Present,12,Republican,14,1
,Amodei,,,,Amodei,,,,Babin,Becerra,,,Babin,Becerra,,,Amash,,,,Amodei,Gohmert,,,Bera,Arrington,,,Babin,Beatty,,,Arrington,Bera,,,Amodei,Garrett,,,Amodei,Clarke (NY),,,Arrington,Beyer,,,Arrington,Beyer,,,Amodei,Gaetz,,,Amodei,,,"Representative Allred, Colin Z.",Texas,48,House: 2019-Present,32,Democratic,0,0
,Ashford,,,,Ashford,,,,Barletta,Bera,,,Barletta,Beyer,,,Amodei,,,,Arrington,Gonzalez (TX),,,Beyer,Babin,,,Bacon,Bera,,,Babin,Beyer,,,Arrington,Gohmert,,,Arrington,Clay,,,Babin,Bishop (GA),,,Bacon,Bishop (GA),,,Arrington,Garrett,,,Arrington,,,"Representative Amash, Justin",Michigan,26,House: 2011-Present,3,Republican,7,8
,Babin,,,,Babin,,,,Barr,Beyer,,,Barton,Bishop (GA),,,Ashford,,,,Babin,Gosar,,,Bishop (GA),Bacon,,,Banks (IN),Beyer,,,Bacon,Bishop (GA),,,Babin,Labrador,,,Babin,Cleaver,,,Bacon,Blumenauer,,,Banks (IN),Blumenauer,,,Babin,Gosar,,,Babin,,,"Representative Amodei, Mark E.",Nevada,32,House: 2011-Present,2,Republican,14,1
,Barletta,,,,Barletta,,,,Barton,Bishop (GA),,,Benishek,Blumenauer,,,Babin,,,,Bacon,Jones,,,Blum,Banks (IN),,,Barletta,Bishop (GA),,,Banks (IN),Blumenauer,,,Bacon,Massie,,,Bacon,Cohen,,,Banks (IN),Blunt Rochester,,,Barletta,Blunt Rochester,,,Bacon,"Hice, Jody B.",,,Bacon,,,"Representative Armstrong, Kelly",North Dakota,38,House: 2019-Present,,Republican,0,0
,Barr,,,,Barr,,,,Benishek,Blumenauer,,,Bilirakis,Bonamici,,,Barletta,,,,Banks (IN),Labrador,,,Blumenauer,Barletta,,,Barr,Blumenauer,,,Barletta,Blunt Rochester,,,Barr,McClintock,,,Banks (IN),"Davis, Danny",,,Barletta,Bonamici,,,Barr,Bonamici,,,Banks (IN),Jones,,,Banks (IN),,,"Representative Arrington, Jodey C.",Texas,48,House: 2017-Present,19,Republican,9,1
,Barton,,,,Barton,,,,Bilirakis,Bonamici,,,Bishop (MI),"Boyle, Brendan F.",,,Barr,,,,Barletta,Loudermilk,,,Blunt Rochester,Barr,,,Barton,Blunt Rochester,,,Barr,Bonamici,,,Barragán,Perry,,,Barletta,Demings,,,Barr,"Boyle, Brendan F.",,,Barton,"Boyle, Brendan F.",,,Barletta,Massie,,,Barletta,,,"Representative Axne, Cynthia",Iowa,19,House: 2019-Present,3,Democratic,0,0
,Bass,,,,Bass,,,,Bishop (MI),"Boyle, Brendan F.",,,Blackburn,Brady (PA),,,Barton,,,,Barr,Massie,,,Bonamici,Barton,,,Biggs,Bonamici,,,Barton,"Boyle, Brendan F.",,,Barton,Poe (TX),,,Barr,DeSaulnier,,,Barton,Brady (PA),,,Bergman,Brady (PA),,,Barr,McClintock,,,Barr,,,"Representative Babin, Brian",Texas,48,House: 2015-Present,36,Republican,13,1
,Beatty,,,,Beatty,,,,Bishop (UT),Brady (PA),,,Blum,Brown (FL),,,Bass,,,,Barragán,McClintock,,,"Boyle, Brendan F.",Bergman,,,Bilirakis,"Boyle, Brendan F.",,,Bergman,Brady (PA),,,Bass,Yoho,,,Barragán,Doggett,,,Bergman,Brown (MD),,,Biggs,Brown (MD),,,Barragán,Rohrabacher,,,Barragán,,,"Representative Bacon, Don",Nebraska,31,House: 2017-Present,2,Republican,9,1
,Becerra,,,,Becerra,,,,Black,Brown (FL),,,Bost,Brownley (CA),,,Beatty,,,,Barton,Sanford,,,Brady (PA),Biggs,,,Bishop (MI),Brady (PA),,,Biggs,Brown (MD),,,Bera,,,,Barton,Fudge,,,Biggs,Brownley (CA),,,Bishop (MI),Brownley (CA),,,Barton,,,,Barton,,,"Representative Baird, James R.",Indiana,18,House: 2019-Present,4,Republican,0,0
,Benishek,,,,Benishek,,,,Blackburn,Brownley (CA),,,Boustany,Bustos,,,Becerra,,,,Bass,,,,Brown (MD),Bilirakis,,,Bishop (UT),Brown (MD),,,Bilirakis,Brownley (CA),,,Beyer,,,,Bera,Gonzalez (TX),,,Bishop (MI),Bustos,,,Bishop (UT),Bustos,,,Bass,,,,Bass,,,"Representative Balderson, Troy",Ohio,39,House: 2018-Present,12,Republican,0,0
,Bera,,,,Bera,,,,Blum,Bustos,,,Brat,Butterfield,,,Benishek,,,,Beatty,,,,Brownley (CA),Bishop (MI),,,Blackburn,Brownley (CA),,,Bishop (MI),Bustos,,,Bilirakis,,,,Bergman,"Green, Al",,,Bishop (UT),Butterfield,,,Black,Butterfield,,,Bera,,,,Beatty,,,"Representative Banks, Jim",Indiana,18,House: 2017-Present,3,Republican,8,1
,Beyer,,,,Beyer,,,,Bost,Butterfield,,,Bridenstine,Capps,,,Bera,,,,Bera,,,,Bustos,Bishop (UT),,,Bost,Bustos,,,Blackburn,Butterfield,,,Bishop (GA),,,,Beyer,"Green, Gene",,,Black,Capuano,,,Blackburn,Capuano,,,Bergman,,,,Bera,,,"Representative Barr, Andy",Kentucky,21,House: 2013-Present,6,Republican,12,1
,Bilirakis,,,,Bilirakis,,,,Boustany,Capuano,,,Brooks (AL),Capuano,,,Beyer,,,,Bergman,,,,Butterfield,Blackburn,,,Brady (TX),Butterfield,,,Bost,Capuano,,,Bishop (MI),,,,Biggs,Grijalva,,,Blackburn,Carbajal,,,Blum,Carbajal,,,Beyer,,,,Bergman,,,"Representative Barragán, Nanette Diaz",California,6,House: 2017-Present,44,Democratic,6,4
,Bishop (GA),,,,Bishop (GA),,,,Brady (TX),Cárdenas,,,Brooks (IN),Cárdenas,,,Bilirakis,,,,Beyer,,,,Capuano,Bost,,,Brat,Capuano,,,Brady (TX),Carbajal,,,Bishop (UT),,,,Bilirakis,Hastings,,,Blum,Cárdenas,,,Bost,Cárdenas,,,Bishop (GA),,,,Beyer,,,"Representative Bass, Karen",California,6,House: 2011-Present,37,Democratic,8,7
,Bishop (MI),,,,Bishop (MI),,,,Brat,Carney,,,Buchanan,Carney,,,Bishop (GA),,,,Bilirakis,,,,Carbajal,Brady (TX),,,Brooks (AL),Carbajal,,,Brat,Cárdenas,,,Blunt Rochester,,,,Bishop (GA),Higgins (NY),,,Bost,Carson (IN),,,Brady (TX),Carson (IN),,,Bishop (MI),,,,Biggs,,,"Representative Beatty, Joyce",Ohio,39,House: 2013-Present,3,Democratic,5,3
,Bishop (UT),,,,Bishop (UT),,,,Bridenstine,Carson (IN),,,Buck,Carson (IN),,,Bishop (MI),,,,Bishop (GA),,,,Cárdenas,Brat,,,Brooks (IN),Cárdenas,,,Brooks (AL),Carson (IN),,,Bost,,,,Bishop (MI),Jackson Lee,,,Brady (TX),Cartwright,,,Brat,Cartwright,,,Bishop (UT),,,,Bilirakis,,,"Representative Bera, Ami",California,6,House: 2013-Present,7,Democratic,9,5
,Black,,,,Black,,,,Brooks (AL),Castro (TX),,,Bucshon,Castro (TX),,,Bishop (UT),,,,Bishop (MI),,,,Carson (IN),Brooks (AL),,,Buchanan,Carson (IN),,,Brooks (IN),Cartwright,,,Brady (TX),,,,Bishop (UT),Jayapal,,,Brat,Castor (FL),,,Brooks (AL),Castor (FL),,,Black,,,,Bishop (GA),,,"Representative Bergman, Jack",Michigan,26,House: 2017-Present,1,Republican,7,1
,Blackburn,,,,Blackburn,,,,Brooks (IN),"Chu, Judy",,,Burgess,"Chu, Judy",,,Black,,,,Bishop (UT),,,,Cartwright,Brooks (IN),,,Buck,Cartwright,,,Buchanan,Castor (FL),,,Brat,,,,Blackburn,Jeffries,,,Brooks (AL),Castro (TX),,,Brooks (IN),Castro (TX),,,Blum,,,,Bishop (MI),,,"Representative Beyer, Donald S., Jr.",Virginia,51,House: 2015-Present,8,Democratic,13,2
,Blum,,,,Blum,,,,Buchanan,Cicilline,,,Byrne,Cicilline,,,Blackburn,,,,Blackburn,,,,Castor (FL),Buchanan,,,Bucshon,Castor (FL),,,Buck,Castro (TX),,,Brooks (IN),,,,Blum,Johnson (GA),,,Brooks (IN),Cicilline,,,Buchanan,Cicilline,,,Blumenauer,,,,Bishop (UT),,,"Representative Biggs, Andy",Arizona,4,House: 2017-Present,5,Republican,6,4
,Blumenauer,,,,Blumenauer,,,,Buck,Clark (MA),,,Calvert,Clark (MA),,,Blum,,,,Blum,,,,Castro (TX),Buck,,,Budd,Castro (TX),,,Bucshon,"Chu, Judy",,,Brown (MD),,,,Blumenauer,Kelly (IL),,,Buchanan,Clark (MA),,,Buck,Clark (MA),,,Blunt Rochester,,,,Blackburn,,,"Representative Bilirakis, Gus M.",Florida,12,House: 2007-Present,12,Republican,11,1
,Bonamici,,,,Bonamici,,,,Bucshon,Clarke (NY),,,Carter (GA),Clarke (NY),,,Blumenauer,,,,Blumenauer,,,,"Chu, Judy",Bucshon,,,Burgess,"Chu, Judy",,,Budd,Cicilline,,,Brownley (CA),,,,Blunt Rochester,Khanna,,,Buck,Clarke (NY),,,Bucshon,Clarke (NY),,,Bonamici,,,,Blumenauer,,,"Representative Bishop, Rob",Utah,49,House: 2003-Present,1,Republican,13,1
,Bost,,,,Bost,,,,Burgess,Clay,,,Carter (TX),Clay,,,Bonamici,,,,Blunt Rochester,,,,Cicilline,Budd,,,Byrne,Cicilline,,,Burgess,Clark (MA),,,Buck,,,,Bonamici,Lawrence,,,Bucshon,Clay,,,Budd,Clay,,,Bost,,,,Blunt Rochester,,,"Representative Bishop, Sanford D., Jr.",Georgia,13,House: 1993-Present,2,Democratic,10,5
,Boustany,,,,"Boyle, Brendan F.",,,,Byrne,Cleaver,,,Chabot,Cleaver,,,Bost,,,,Bonamici,,,,Clark (MA),Burgess,,,Calvert,Clark (MA),,,Byrne,Clarke (NY),,,Bucshon,,,,Bost,Lewis (GA),,,Budd,Cleaver,,,Burgess,Cleaver,,,"Boyle, Brendan F.",,,,Bonamici,,,"Representative Blumenauer, Earl",Oregon,41,House: 1995-Present,3,Democratic,8,5
,"Boyle, Brendan F.",,,,Brady (PA),,,,Calvert,Clyburn,,,Chaffetz,Clyburn,,,Boustany,,,,Bost,,,,Clarke (NY),Byrne,,,Carter (GA),Clarke (NY),,,Calvert,Clay,,,Budd,,,,"Boyle, Brendan F.",Lowenthal,,,Burgess,Clyburn,,,Byrne,Clyburn,,,Brady (TX),,,,Bost,,,"Representative Blunt Rochester, Lisa",Delaware,10,House: 2017-Present,,Democratic,6,4
,Brady (PA),,,,Brady (TX),,,,Carter (GA),Cohen,,,Clawson (FL),Cohen,,,"Boyle, Brendan F.",,,,"Boyle, Brendan F.",,,,Clay,Calvert,,,Carter (TX),Clay,,,Carter (GA),Cleaver,,,Burgess,,,,Brady (PA),McCollum,,,Byrne,Cohen,,,Calvert,Cohen,,,Brat,,,,"Boyle, Brendan F.",,,"Representative Bonamici, Suzanne",Oregon,41,House: 2012-Present,1,Democratic,8,6
,Brady (TX),,,,Brat,,,,Carter (TX),Connolly,,,Coffman,Connolly,,,Brady (PA),,,,Brady (PA),,,,Cleaver,Carter (GA),,,Chabot,Cleaver,,,Carter (TX),Clyburn,,,Bustos,,,,Brady (TX),McEachin,,,Calvert,Connolly,,,Carter (GA),Connolly,,,Brooks (IN),,,,Brady (TX),,,"Representative Bost, Mike",Illinois,17,House: 2015-Present,12,Republican,14,1
,Brat,,,,Bridenstine,,,,Chabot,Conyers,,,Cole,Conyers,,,Brady (TX),,,,Brady (TX),,,,Clyburn,Carter (TX),,,Coffman,Clyburn,,,Chabot,Cohen,,,Byrne,,,,Brat,Mooney (WV),,,Carter (GA),Cooper,,,Carter (TX),Cooper,,,Brown (MD),,,,Brat,,,"Representative Boyle, Brendan F.",Pennsylvania,42,House: 2015-Present,2,Democratic,8,5
,Bridenstine,,,,Brooks (IN),,,,Chaffetz,Courtney,,,Collins (GA),Cooper,,,Brat,,,,Brat,,,,Cohen,Chabot,,,Cole,Cohen,,,Coffman,Connolly,,,Calvert,,,,Brooks (AL),Moore,,,Carter (TX),Correa,,,Chabot,Correa,,,Brownley (CA),,,,Brooks (AL),,,"Representative Brady, Kevin",Texas,48,House: 1997-Present,8,Republican,14,1
,Brooks (IN),,,,Brown (FL),,,,Clawson (FL),Crowley,,,Collins (NY),Courtney,,,Bridenstine,,,,Brooks (IN),,,,Connolly,Cheney,,,Collins (NY),Connolly,,,Cole,Cooper,,,Carbajal,,,,Brooks (IN),Napolitano,,,Chabot,Costa,,,Cheney,Costa,,,Buchanan,,,,Brooks (IN),,,"Representative Brindisi, Anthony",New York,36,House: 2019-Present,22,Democratic,0,0
,Brown (FL),,,,Brownley (CA),,,,Coffman,Cummings,,,Comstock,Crowley,,,Brooks (AL),,,,Brown (MD),,,,Cooper,Coffman,,,Comer,Cooper,,,Collins (NY),Correa,,,Cárdenas,,,,Brownley (CA),Nolan,,,Cheney,Courtney,,,Coffman,Courtney,,,Bucshon,,,,Brownley (CA),,,"Representative Brooks, Mo",Alabama,1,House: 2011-Present,5,Republican,10,5
,Brownley (CA),,,,Buchanan,,,,Cole,Davis (CA),,,Conaway,Cuellar,,,Brooks (IN),,,,Brownley (CA),,,,Correa,Cole,,,Comstock,Correa,,,Comer,Costa,,,Carson (IN),,,,Buchanan,Norcross,,,Coffman,Crist,,,Cole,Crist,,,Budd,,,,Buck,,,"Representative Brooks, Susan W.",Indiana,18,House: 2013-Present,5,Republican,14,1
,Buchanan,,,,Buck,,,,Collins (GA),"Davis, Danny",,,Cook,Cummings,,,Brown (FL),,,,Buchanan,,,,Costa,Collins (NY),,,Conaway,Costa,,,Comstock,Courtney,,,Carter (TX),,,,Buck,Payne,,,Cole,Cuellar,,,Collins (GA),Cuellar,,,Burgess,,,,Bucshon,,,"Representative Brown, Anthony G.",Maryland,24,House: 2017-Present,4,Democratic,3,6
,Buck,,,,Bucshon,,,,Collins (NY),DeFazio,,,Costello (PA),Davis (CA),,,Brownley (CA),,,,Buck,,,,Courtney,Comer,,,Cook,Courtney,,,Conaway,Crist,,,Cartwright,,,,Bucshon,Pocan,,,Collins (GA),Cummings,,,Collins (NY),Cummings,,,Bustos,,,,Budd,,,"Representative Brownley, Julia",California,6,House: 2013-Present,26,Democratic,9,6
,Bucshon,,,,Burgess,,,,Comstock,DeGette,,,Cramer,"Davis, Danny",,,Buchanan,,,,Bucshon,,,,Crist,Comstock,,,Costello (PA),Crist,,,Cook,Crowley,,,Castor (FL),,,,Budd,Polis,,,Collins (NY),Davis (CA),,,Comer,Davis (CA),,,Butterfield,,,,Burgess,,,"Representative Buchanan, Vern",Florida,12,House: 2007-Present,16,Republican,12,1
,Burgess,,,,Bustos,,,,Conaway,Delaney,,,Crawford,DeFazio,,,Buck,,,,Budd,,,,Cuellar,Conaway,,,Cramer,Crowley,,,Costello (PA),Cuellar,,,Castro (TX),,,,Burgess,Raskin,,,Comer,"Davis, Danny",,,Comstock,"Davis, Danny",,,Byrne,,,,Bustos,,,"Representative Buck, Ken",Colorado,8,House: 2015-Present,4,Republican,13,2
,Bustos,,,,Butterfield,,,,Cook,DeLauro,,,Crenshaw,DeGette,,,Bucshon,,,,Burgess,,,,Cummings,Cook,,,Crawford,Cuellar,,,Cramer,Cummings,,,Chabot,,,,Bustos,Richmond,,,Comstock,DeFazio,,,Conaway,DeFazio,,,Calvert,,,,Butterfield,,,"Representative Bucshon, Larry",Indiana,19,House: 2011-Present,8,Republican,14,1
,Butterfield,,,,Byrne,,,,Cooper,DelBene,,,Culberson,Delaney,,,Burgess,,,,Bustos,,,,Davis (CA),Costello (PA),,,Culberson,Cummings,,,Crawford,Davis (CA),,,Cheney,,,,Butterfield,Roybal-Allard,,,Conaway,DeGette,,,Cook,DeGette,,,Capuano,,,,Byrne,,,"Representative Budd, Ted",North Carolina,37,House: 2017-Present,13,Republican,9,1
,Byrne,,,,Calvert,,,,Costa,DeSaulnier,,,Curbelo (FL),DeLauro,,,Bustos,,,,Butterfield,,,,"Davis, Danny",Cramer,,,Curbelo (FL),Davis (CA),,,Culberson,"Davis, Danny",,,"Chu, Judy",,,,Byrne,Rush,,,Cook,Delaney,,,Costello (PA),Delaney,,,Carbajal,,,,Calvert,,,"Representative Burchett, Tim",Tennessee,47,House: 2019-Present,2,Republican,0,0
,Calvert,,,,Capps,,,,Costello (PA),Deutch,,,"Davis, Rodney",DelBene,,,Butterfield,,,,Byrne,,,,DeFazio,Crawford,,,Curtis,"Davis, Danny",,,Curbelo (FL),DeFazio,,,Cicilline,,,,Calvert,Schakowsky,,,Costello (PA),DeLauro,,,Cramer,DeLauro,,,Cárdenas,,,,Capuano,,,"Representative Burgess, Michael C.",Texas,48,House: 2003-Present,26,Republican,13,1
,Capps,,,,Capuano,,,,Cramer,Dingell,,,Denham,DeSaulnier,,,Byrne,,,,Calvert,,,,DeGette,Culberson,,,Davidson,DeFazio,,,Curtis,DeGette,,,Clarke (NY),,,,Capuano,Scott (VA),,,Cramer,DelBene,,,Crawford,DelBene,,,Carson (IN),,,,Carbajal,,,"Representative Bustos, Cheri",Illinois,17,House: 2013-Present,17,Democratic,9,6
,Capuano,,,,Cárdenas,,,,Crawford,Doggett,,,Dent,Deutch,,,Calvert,,,,Capuano,,,,DeLauro,Curbelo (FL),,,"Davis, Rodney",DeGette,,,"Davis, Rodney",Delaney,,,Clay,,,,Carbajal,Thompson (MS),,,Crawford,Demings,,,Culberson,Demings,,,Carter (GA),,,,Cárdenas,,,"Representative Butterfield, G. K.",North Carolina,37,House: 2004-Present,1,Democratic,7,6
,Cárdenas,,,,Carney,,,,Crenshaw,"Doyle, Michael F.",,,DeSantis,Dingell,,,Capps,,,,Carbajal,,,,DelBene,Curtis,,,Denham,Delaney,,,Denham,DeLauro,,,Cleaver,,,,Cárdenas,Titus,,,Culberson,DeSaulnier,,,Curbelo (FL),DeSaulnier,,,Carter (TX),,,,Carson (IN),,,"Representative Byrne, Bradley",Alabama,1,House: 2014-Present,1,Republican,14,1
,Carney,,,,Carson (IN),,,,Cuellar,Edwards,,,DesJarlais,Doggett,,,Capuano,,,,Cárdenas,,,,Demings,Davidson,,,DeSantis,DeLauro,,,DeSantis,DelBene,,,Coffman,,,,Carter (GA),Veasey,,,Curbelo (FL),Deutch,,,Curtis,Deutch,,,Cartwright,,,,Carter (GA),,,"Representative Calvert, Ken",California,6,House: 1993-Present,42,Republican,14,1
,Carson (IN),,,,Carter (GA),,,,Culberson,Engel,,,Diaz-Balart,"Doyle, Michael F.",,,Cárdenas,,,,Carson (IN),,,,DeSaulnier,"Davis, Rodney",,,DesJarlais,DelBene,,,DesJarlais,Demings,,,Cohen,,,,Cartwright,Velázquez,,,Curtis,Dingell,,,Davidson,Dingell,,,Castor (FL),,,,Carter (TX),,,"Representative Carbajal, Salud O.",California,6,House: 2017-Present,24,Democratic,6,5
,Carter (GA),,,,Carter (TX),,,,Curbelo (FL),Eshoo,,,Dold,Duckworth,,,Carney,,,,Carter (GA),,,,Deutch,Denham,,,Diaz-Balart,Demings,,,Diaz-Balart,DeSaulnier,,,Cole,,,,Castor (FL),"Waters, Maxine",,,Davidson,Doggett,,,"Davis, Rodney",Doggett,,,Castro (TX),,,,Cartwright,,,"Representative Cárdenas, Tony",California,6,House: 2013-Present,29,Democratic,9,6
,Carter (TX),,,,Castro (TX),,,,"Davis, Rodney",Esty,,,Donovan,Edwards,,,Carson (IN),,,,Carter (TX),,,,Dingell,DeSantis,,,Donovan,DeSaulnier,,,Donovan,Deutch,,,Collins (NY),,,,Castro (TX),Watson Coleman,,,"Davis, Rodney","Doyle, Michael F.",,,Denham,"Doyle, Michael F.",,,Chabot,,,,Castro (TX),,,"Representative Carson, Andre",Indiana,18,House: 2008-Present,7,Democratic,8,7
,Cartwright,,,,Chabot,,,,Denham,Farr,,,Duffy,Ellison,,,Carter (GA),,,,Cartwright,,,,Doggett,DesJarlais,,,Duffy,Deutch,,,Duffy,Dingell,,,Comer,,,,Chabot,Young (AK),,,Denham,Engel,,,DeSantis,Engel,,,Cheney,,,,Chabot,,,"Representative Carter, Earl L. ""Buddy""",Georgia,13,House: 2015-Present,1,Republican,14,1
,Castor (FL),,,,Chaffetz,,,,Dent,Foster,,,Duncan (SC),Engel,,,Carter (TX),,,,Castor (FL),,,,"Doyle, Michael F.",Diaz-Balart,,,Duncan (SC),Dingell,,,Duncan (TN),Doggett,,,Comstock,,,,Cheney,,,,DeSantis,Eshoo,,,DesJarlais,Eshoo,,,"Chu, Judy",,,,Cheney,,,"Representative Carter, John R.",Texas,48,House: 2003-Present,31,Republican,13,1
,Castro (TX),,,,"Chu, Judy",,,,DeSantis,Frankel (FL),,,Duncan (TN),Eshoo,,,Cartwright,,,,Castro (TX),,,,Engel,Donovan,,,Duncan (TN),Doggett,,,Dunn,"Doyle, Michael F.",,,Conaway,,,,Cicilline,,,,DesJarlais,Esty (CT),,,Diaz-Balart,Esty (CT),,,Cicilline,,,,"Chu, Judy",,,"Representative Cartwright, Matt",Pennsylvania,42,House: 2013-Present,8,Democratic,8,4
,Chabot,,,,Cicilline,,,,DesJarlais,Fudge,,,Ellmers (NC),Esty,,,Castro (TX),,,,Chabot,,,,Eshoo,Duffy,,,Dunn,"Doyle, Michael F.",,,Emmer,Engel,,,Connolly,,,,Clark (MA),,,,Diaz-Balart,Evans,,,Donovan,Evans,,,Clark (MA),,,,Clark (MA),,,"Representative Case, Ed",Hawaii,15,"House: 2002-2007, 2019-Present",1,Democratic,0,0
,Chaffetz,,,,Clark (MA),,,,Diaz-Balart,Gabbard,,,Emmer (MN),Farr,,,Chabot,,,,Cheney,,,,Espaillat,Duncan (SC),,,Emmer,Engel,,,Estes (KS),Eshoo,,,Cook,,,,Clyburn,,,,Donovan,Foster,,,Duffy,Foster,,,Clarke (NY),,,,Clarke (NY),,,"Representative Casten, Sean",Illinois,18,House: 2019-Present,6,Democratic,0,0
,"Chu, Judy",,,,Clarke (NY),,,,Dold,Gallego,,,Farenthold,Foster,,,Chaffetz,,,,"Chu, Judy",,,,Esty (CT),Duncan (TN),,,Estes (KS),Eshoo,,,Faso,Espaillat,,,Cooper,,,,Coffman,,,,Duffy,Frankel (FL),,,Duncan (SC),Frankel (FL),,,Clay,,,,Clay,,,"Representative Castor, Kathy",Florida,12,House: 2007-Present,14,Democratic,6,4